rowid,univid,profDept,profRatings,profAvg,profEasy,profId
103,825,Biology,68,3.1,2.2,1289354
104,825,"Computer Science",68,4.2,2.5,212463
105,825,Mathematics,68,3.6,3.2,121049
106,825,"Political Science",68,3.1,2.5,74834
107,825,Mathematics,68,3.6,3.4,190837
108,825,Science,67,3.8,2.9,381701
109,825,Physics,66,4.1,3.8,343925
110,825,Philosophy,65,3.3,3.3,215890
111,825,Mathematics,64,2.8,3.2,483623
112,825,Chemistry,64,1.8,1.8,163383
113,825,Mathematics,64,4.5,3.3,859214
114,825,"Computer Science",63,3.4,3.6,123284
115,825,Engineering,63,2.3,2.4,123655
116,825,Economics,63,2.4,2.7,344138
117,825,Psychology,63,3.8,3.1,11292
118,825,Mathematics,62,4,3.5,163239
119,825,Science,62,3.5,3.5,115963
120,825,Psychology,62,3.8,2.2,109964
121,825,Mathematics,62,3.9,2.7,739067
122,825,English,62,3.4,2,110263
123,825,Mathematics,61,3.7,2.2,45724
124,825,Psychology,61,4.3,3.5,195226
125,825,"Computer Science",61,3.7,2.4,182646
126,825,Psychology,60,4.6,4.2,74843
127,825,Economics,60,2.7,3.2,600338
128,825,"Art History",60,3.9,2.7,212708
129,825,Mathematics,60,4,4.1,624643
130,825,History,59,2.6,2.5,189507
131,825,Physics,59,4.2,3.5,582954
132,825,Science,59,4.7,3.9,107392
133,825,Accounting,58,2.9,1.5,224253
134,825,Psychology,58,4.4,4.6,1034921
135,825,Economics,57,3.6,2.9,249045
136,825,Mathematics,57,4.1,2.8,275733
137,825,Psychology,57,2.5,3.2,316107
138,825,Psychology,56,4.5,4.3,163318
139,825,Theater,56,3.7,4,266604
140,825,Sociology,56,3.9,3.2,680321
141,825,Sociology,56,4.3,3.5,207670
142,825,Psychology,56,4,2.6,242672
143,825,Engineering,56,2,1.8,43543
144,825,Economics,56,2.5,2.9,22809
145,825,Geology,55,4.2,3.9,384597
146,825,Psychology,55,4,3.2,212712
147,825,History,54,4.7,3.7,104883
148,825,Literature,54,2.1,2,153810
149,825,English,54,3.7,3,902174
150,825,Business,54,3.3,2.8,147921
151,825,Science,54,4,3.7,168737
152,825,Mathematics,53,1.9,1.5,1033258
153,825,Mathematics,53,4.1,3.3,1783935
154,825,Mathematics,53,4,3.4,84787
155,825,Psychology,53,4.8,4.7,1393970
156,825,Music,52,3.6,3.7,112121
157,825,Economics,52,2.5,3.7,81136
158,825,Psychology,51,4.3,3.9,363196
159,825,Mathematics,51,3.9,2.9,454111
160,825,Psychology,51,1.8,1.9,190311
161,825,"Criminal Justice",50,2.4,2.8,36461
162,825,Mathematics,49,2.1,1.8,988973
163,825,Philosophy,49,4.1,2.4,104967
164,825,Psychology,48,1.4,2.9,264279
165,825,Anthropology,48,2.5,2.6,108946
166,825,"Political Science",47,3.5,1.9,187092
167,825,"Political Science",47,3.7,3.9,341770
168,825,English,47,4.8,3.7,139757
169,825,"Bioinformatics & Molecular Bio",47,4.3,2.5,341102
170,825,English,47,4,2.2,734447
171,825,Biology,47,3.6,2.9,500545
172,825,Chemistry,47,4.5,3,386752
173,825,Geology,46,4.3,3.8,549608
174,825,Philosophy,46,3,4.2,276486
175,825,History,46,4.5,3.6,103293
176,825,Mathematics,46,4.1,3.2,321513
177,825,Languages,46,4,3,150974
178,825,Mathematics,46,4.7,3.4,387280
179,825,History,45,4.5,3.8,164388
180,825,English,45,4.5,4,734443
181,825,History,45,3.7,3.6,116531
182,825,Theology,45,3.5,3.4,36465
183,825,Theology,45,4.3,3.8,198067
184,825,Communication,45,2.6,3.4,693090
185,825,Sociology,45,4.7,3.7,177118
186,825,Psychology,45,4.1,3.9,13820
187,825,English,45,4.4,4.1,252464
188,825,Economics,44,3.2,2.4,191562
189,825,Mathematics,44,2.9,3.1,12463
190,825,English,44,4.6,3.5,158896
191,825,Philosophy,44,4.4,4.1,561199
192,825,History,44,2.9,2.5,374294
193,825,"Political Science",44,3.8,3.5,52023
194,825,Geology,44,4.3,3.8,188505
195,825,Finance,44,2.5,1.5,418207
196,825,"Political Science",44,3.1,3,306795
197,825,"Political Science",44,3.5,3.2,336569
198,825,Accounting,44,3.9,2.5,167452
199,825,Communication,43,3.5,3.8,743098
200,825,Economics,43,3.7,3.3,263440
201,825,"Computer Science",43,2.3,2.5,1047524
202,825,Mathematics,43,2.7,2.2,690656
203,825,"Political Science",43,4.3,3.1,412097
204,825,Psychology,43,3.7,3.6,207644
205,825,"Criminal Justice",43,4.4,4.5,925215
206,825,English,43,3.9,3,18896
207,825,Literature,41,4.2,3.4,28241
208,825,Psychology,40,2.9,3.1,380294
209,825,English,40,3,2.6,275870
210,825,Biology,40,3.8,2.9,417453
211,825,History,40,2.6,2,162072
212,825,Psychology,40,3.5,3,195229
213,825,Economics,40,4.2,3.5,226522
214,825,Communication,40,2.3,1.6,375851
215,825,"Criminal Justice",40,4.3,2.2,264812
216,825,Economics,40,5,4,142255
217,825,"Fine Arts",40,4.5,4.6,177708
218,825,English,40,3.8,3.5,185956
219,825,Mathematics,40,1.4,1.9,341499
220,825,Communication,40,4.2,3.4,536360
221,825,Science,40,2.6,3.5,189670
222,825,Economics,39,4,3.6,336474
223,825,History,39,4.6,3.1,103296
224,825,English,39,4.1,3.1,1332693
225,825,Economics,39,2.8,3.2,262322
226,825,"Political Science",39,4.6,3.5,208198
227,825,"Public Health",39,4.2,3.8,71591
228,825,Classics,39,3.4,3.3,257359
229,825,Economics,39,3.2,2.3,383804
230,825,Philosophy,39,2.9,3.6,94935
231,825,Accounting,39,2.9,2.9,430636
232,825,English,38,3.3,2.4,101652
233,825,History,38,4.4,4.1,136544
234,825,"Art History",38,4.2,2.9,275889
235,825,Nutrition,38,2.6,2,751436
236,825,English,38,4.7,4.1,254419
237,825,Economics,38,3,4,244552
238,825,Mathematics,38,2.2,2.9,84958
239,825,"Criminal Justice",38,4.7,4.5,839781
240,825,Mathematics,38,3.6,2.7,341943
241,825,History,38,3,2.5,163632
242,825,Science,38,1.9,1.7,79889
243,825,Anthropology,38,1.6,2.5,21798
244,825,Psychology,38,3.2,2.6,78590
245,825,Geology,38,4,4.2,1026305
246,825,"Social Science",38,3.1,3.6,46112
247,825,Finance,38,3.5,3.3,553157
248,825,Mathematics,38,4.9,3.9,437531
249,825,Mathematics,37,2.9,2.7,408593
250,825,French,37,4.7,3.9,341560
251,825,Mathematics,37,3,2.9,396450
252,825,Mathematics,37,3.7,3.1,214646
253,825,History,37,4.6,4,323484
254,825,Economics,37,4.6,4.1,556547
255,825,Mathematics,37,3.4,3.5,144143
256,825,Science,37,3.8,3.3,130020
257,825,Mathematics,37,4,2.7,274901
258,825,Statistics,37,4.6,4.4,556179
259,825,Science,37,3.1,3,328162
260,825,Chemistry,37,3,2.8,442979
261,825,English,36,3.4,3.1,1079124
262,825,Anthropology,36,4.1,2.8,458033
263,825,Communication,36,4.7,4.2,1245949
264,825,"Journalism & Media Studies",36,3.7,2.8,593001
265,825,Psychology,36,4.6,4.4,1465472
266,825,Psychology,36,4.4,4,677850
267,825,English,36,2.7,3.8,122618
268,825,English,36,2.8,1.8,52158
269,825,Biology,36,3.7,3.1,735009
270,825,Psychology,36,4.7,4.3,650510
271,825,Film,36,4.4,3.6,359270
272,825,English,36,4,2.7,215911
273,825,"American Studies",36,3.4,3.7,113575
274,825,Psychology,36,4.8,4.3,1293707
275,825,Psychology,35,4,3.4,628632
276,825,English,35,3,3.5,141923
277,825,History,35,3.8,2.8,955542
278,825,Mathematics,35,1.2,1.7,198479
279,825,Chemistry,35,2.6,2.2,869385
280,825,English,35,2.2,3.2,215906
281,825,Biology,35,4.2,3.8,543116
282,825,Mathematics,35,2.2,2.6,179410
283,825,"Social Work",34,4.2,3.5,625733
284,825,"Political Science",34,2.9,2,236346
285,825,"Criminal Justice",34,3.8,4.5,896639
286,825,"Social Science",34,1.2,2,70546
287,825,"Art History",34,4,2.9,794979
288,825,Mathematics,34,2.8,2.6,106896
289,825,Science,34,2.4,1.9,127054
290,825,Philosophy,34,3.9,3.2,134508
291,825,English,34,4.1,2.3,339890
292,825,"Political Science",34,3.3,3,339615
293,825,Communication,34,4.4,4.3,1089788
294,825,Mathematics,34,4.5,1.9,1292997
295,825,Mathematics,34,4.2,3.8,106408
296,825,Sociology,34,4.4,3.7,485226
297,825,Business,34,4.2,4.1,1286001
298,825,Music,34,3.3,3.8,374856
299,825,Economics,34,4.1,3.4,173602
300,825,English,34,2.3,3.2,157500
301,825,Music,34,2.5,3.6,13892
302,825,Communication,34,4.1,3.5,889004
303,825,Psychology,34,3.1,2.1,785806
304,825,"Judaic Studies",34,2.8,2.3,394911
305,825,Mathematics,33,2.3,3.3,570565
306,825,Psychology,33,3.8,2.5,111344
307,825,Psychology,33,2,1.5,36460
308,825,Business,33,3.9,2.5,51907
309,825,Mathematics,33,1.4,1.2,105006
310,825,Anthropology,33,4.1,3.9,81141
311,825,Mathematics,32,2.6,2,886985
312,825,Psychology,32,3,2.3,382410
313,825,Economics,32,3.5,2.9,441212
314,825,Biology,32,4.7,3.4,459132
315,825,Economics,32,3.1,2.5,328323
316,825,Chemistry,32,2.2,2.1,291302
317,825,"Political Science",32,2,2.3,270647
318,825,Philosophy,32,2.8,2.2,93975
319,825,Economics,32,1.8,2.1,408912
320,825,Economics,32,3.1,3.3,433895
321,825,Anthropology,32,3.4,2,255558
322,825,Mathematics,32,3.9,3.2,1064030
323,825,English,32,2.1,2.2,215924
324,825,Economics,32,3.8,3.2,994783
325,825,Mathematics,32,1.6,3,339911
326,825,History,32,2.2,2.4,166815
327,825,Economics,31,3.6,3.2,865954
328,825,Finance,31,2.8,2.3,1208134
329,825,"Computer Science",31,4.7,4.1,1497818
330,825,Psychology,31,3.6,2.6,246767
331,825,Business,31,3.6,3.4,395348
332,825,Physics,31,4.8,3.7,829855
333,825,"Political Science",31,3.7,4.2,280129
334,825,"Criminal Justice",31,3,2.7,849932
335,825,Chemistry,31,3.7,3.1,255878
336,825,Communication,31,4.3,4.3,1615450
337,825,Psychology,31,4.9,4.3,1062283
338,825,History,31,4.2,3.7,171487
339,825,Languages,31,1.7,3,401695
340,825,Geology,31,4.6,4,349247
341,825,English,30,3.3,2.2,80718
342,825,Physics,30,4.4,4,237733
343,825,Engineering,30,3.4,2.9,347940
344,825,Economics,30,2.8,2.7,624748
345,825,Sociology,30,2.7,3.6,606223
346,825,History,30,3,3.1,79137
347,825,Psychology,30,3.6,3.7,595491
348,825,"Political Science",30,2.5,3.2,901128
349,825,Finance,30,2.8,2.2,483004
350,825,Geology,30,3.5,3.6,684030
351,825,History,30,3.7,2.9,241283
352,825,"Criminal Justice",30,3.5,2.3,941860
353,825,"African Studies",29,4.3,3.9,637593
354,825,Statistics,29,2.4,2.7,79876
355,825,Literature,29,3.4,4.4,728050
356,825,Anthropology,29,4,3.2,189781
357,825,English,29,3.8,4.1,197986
358,825,Mathematics,29,1.2,1.7,569771
359,825,Genetics,29,3.8,3.2,1144993
360,825,History,29,4,3.2,273520
361,825,Physics,29,3.6,4,327238
362,825,History,29,2.6,1.8,108950
363,825,History,29,3.1,3.5,188435
364,825,Mathematics,29,2.6,2.9,23289
365,825,English,29,4.9,3.9,1027620
366,825,"Political Science",29,3.5,3.5,171478
367,825,Mathematics,29,2.5,2.9,145771
368,825,Business,29,2.9,3.1,315290
369,825,Finance,29,3.7,3.3,405260
370,825,English,29,4.6,2.7,244705
371,825,"Political Science",29,3.8,2.2,628290
372,825,Journalism,29,2.9,2,173707
373,825,"Criminal Justice",29,4,3.6,454855
374,825,Journalism,29,4.4,3.3,479156
375,825,Psychology,28,2.7,2.9,973968
376,825,History,28,3.4,2.3,140200
377,825,Mathematics,28,4.1,3.6,1232287
378,825,"American Studies",28,4.6,3.5,925253
379,825,Business,28,3.7,2.9,216477
380,825,English,28,2.7,2,394085
381,825,Geography,28,2.4,2.6,340551
382,825,"Social Science",28,4.6,4.4,108533
383,825,Economics,28,4.8,4.2,1308085
384,825,Languages,28,3,3.6,473786
385,825,English,28,3.2,3.2,215922
386,825,Engineering,28,3.3,2.8,346949
387,825,Geology,28,4.1,3.5,706365
388,825,History,28,4.5,3.9,239438
389,825,Mathematics,28,3.2,2.5,444353
390,825,"Political Science",28,2,2.2,869737
391,825,English,28,3.2,2.1,283735
392,825,Engineering,28,4,3,184231
393,825,Economics,28,3,2.1,74830
394,825,Communication,27,4.7,4.3,195232
395,825,"Criminal Justice",27,4.1,3.4,742478
396,825,Mathematics,27,3.3,2.2,225550
397,825,Religion,27,2,3.1,479422
398,825,Anthropology,27,4.2,3.8,1053870
399,825,Design,27,2.9,4.1,472490
400,825,Psychology,27,2.7,2.8,108335
401,825,Psychology,27,3.7,3.2,192602
402,825,Sociology,27,4.2,3.5,321516
403,825,Communication,27,4,3.3,1397719
404,825,History,27,3,3.2,1193176
405,825,Sociology,27,3.4,3,456083
406,825,English,27,3.3,2.5,185959
407,825,"Political Science",27,4.3,3.8,1199077
408,825,Management,27,2.9,2.8,1756529
409,825,Mathematics,27,2.3,2.2,438247
410,825,Mathematics,27,4.6,2.6,174714
411,825,"Political Science",27,4.2,4.2,1041205
412,825,Psychology,27,3,3.3,902971
413,825,Arabic,26,4.5,3.6,371947
414,825,Japanese,26,4.6,3.3,1141046
415,825,English,26,3,3.6,53365
416,825,"Environmental Science",26,4.2,3.7,904524
417,825,Biology,26,3.9,2.8,554012
418,825,Languages,26,3.5,3.3,370432
419,825,Physics,26,3.6,3.2,258696
420,825,Languages,26,4.6,3.8,477584
421,825,Mathematics,26,3.5,3.5,122807
422,825,Psychology,26,4.6,3.8,266606
423,825,Communication,26,4.7,4.2,410807
424,825,Science,26,3.6,3.6,328164
425,825,Engineering,26,1.9,2.3,143600
426,825,Accounting,26,2.2,2,257422
427,825,Engineering,26,5,2.8,209725
428,825,"Social Work",26,3.2,2.8,780517
429,825,Languages,26,2.5,2.5,1527917
430,825,"Not Specified",26,4.4,3.9,1643048
431,825,"Labor Studies",26,4.8,4.7,869095
432,825,Sociology,26,1.9,1.9,791025
433,825,"Political Science",26,2.9,3.5,743444
434,825,Economics,26,3.8,3.2,939328
435,825,Literature,26,3.4,3.8,338390
436,825,"Social Science",26,2.8,2.5,96015
437,825,Religion,26,2.2,2.3,478078
438,825,Writing,25,3.5,3,211801
439,825,History,25,3.7,3,163504
440,825,Mathematics,25,2.5,2.9,502246
441,825,Sociology,25,4.6,4.3,207651
442,825,Engineering,25,1.8,2.1,1520188
443,825,"Ethnic Studies",25,2.5,2.5,525138
444,825,Engineering,25,2.5,1.8,224273
445,825,Psychology,25,4.6,4.8,268262
446,825,Philosophy,25,3.9,2.7,215896
447,825,English,25,4,3.7,204528
448,825,Psychology,25,4.6,3,1432850
449,825,"Political Science",25,3.5,4.2,939291
450,825,Science,25,2.8,1.7,407531
451,825,Journalism,25,3,3,422561
452,825,"Health Science",25,4.8,3.4,482641
453,825,Anthropology,25,3.6,2.4,987923
454,825,Biology,25,3.1,2.4,417455
455,825,Geography,25,4.1,3.2,340549
456,825,Writing,25,2.7,3.2,496736
457,825,"East Asian Studies",25,4.3,4.2,221157
458,825,English,25,4.3,2.6,214759
459,825,"Political Science",25,3.5,2.7,396113
460,825,"Computer Science",25,2.9,2.5,543273
461,825,Journalism,25,2.9,3.2,176777
462,825,"Computer Science",25,4.4,3.3,1164011
463,825,Biology,25,3.8,2.9,1627873
464,825,Communication,25,4.9,4.7,601059
465,825,English,25,3,3.3,119825
466,825,English,25,2.1,2,678334
467,825,Sociology,25,3.2,3,1053209
468,825,"Social Science",24,2.3,2.6,79138
469,825,Mathematics,24,4.3,3.5,646508
470,825,Economics,24,2.3,2,641191
471,825,Biology,24,4.7,3.4,417613
472,825,Economics,24,3.7,3.7,232069
473,825,Philosophy,24,3,3.3,594556
474,825,Engineering,24,1.7,2.1,148432
475,825,Science,24,4,4.4,84209
476,825,Mathematics,24,2.3,2.1,339492
477,825,Psychology,24,4.3,4.3,680067
478,825,Linguistics,24,3.9,3.6,575628
479,825,Mathematics,24,2.1,3.1,413726
480,825,"Labor Studies",24,4.3,4,818941
481,825,Communication,24,4.7,4.4,1542086
482,825,"Social Work",24,2.3,2.4,855518
483,825,Accounting,24,4.3,3,822847
484,825,English,24,4.2,3.2,216596
485,825,"Social Science",24,4.3,4.2,190192
486,825,Mathematics,24,1.7,1.4,326032
487,825,English,24,2.4,3.4,215920
488,825,English,24,3.4,3.8,123281
489,825,English,24,4,3.8,403244
490,825,Sociology,24,4.1,3.8,331680
491,825,English,24,3.1,2.5,147456
492,825,Psychology,24,2.8,2.6,683405
493,825,Business,24,2.9,2.6,314589
494,825,English,24,4.8,3.9,929231
495,825,"Health Science",24,3.7,2.8,173003
496,825,"Political Science",24,4,2.7,217159
497,825,"Political Science",24,4.3,3.2,1226469
498,825,"Art History",24,4.2,3.6,454717
499,825,History,24,3.8,3.6,90715
500,825,"Social Science",23,4.8,4.4,57250
501,825,Physics,23,3.6,2.8,609508
502,825,Biology,23,2.7,2.6,417457
503,825,Psychology,23,2.3,2,1207874
504,825,Philosophy,23,2.8,2,336565
505,825,English,23,4.2,3.3,215927
506,825,Sociology,23,3,2.4,571244
507,825,Communication,23,5,4.5,904191
508,825,"Leadership & Organization",23,4.6,4.6,384743
509,825,Education,23,3.9,3.2,397051
510,825,Science,23,2.2,3.6,164245
511,825,Anthropology,23,4.9,3.6,536992
512,825,Philosophy,23,3.1,2.3,215897
513,825,Sociology,23,4.3,3.5,267968
514,825,Geology,23,4,3,372321
515,825,English,23,4.8,4.6,1126851
516,825,Geography,23,3.9,3.6,961467
517,825,Spanish,23,4.6,3.8,1326100
518,825,"Comparative Literature",23,4.9,4.3,1085650
519,825,Economics,23,3.6,3.3,85835
520,825,Anthropology,23,3,2.7,385408
521,825,Communication,23,3.8,2.6,913975
522,825,Anthropology,23,3,2.9,1253756
523,825,Literature,23,4.8,3.2,566066
524,825,Engineering,23,2,2.5,143592
525,825,"Information Technology",23,2.2,2.1,959423
526,825,Psychology,23,4.8,3.5,266168
527,825,Geology,23,3.7,3.3,583885
528,825,Chinese,23,4.7,3.9,563383
529,825,Genetics,22,3.5,3.5,1119750
530,825,English,22,3.1,2,698929
531,825,Mathematics,22,4.3,2.3,1381117
532,825,Psychology,22,3.6,3.4,341595
533,825,Economics,22,2.7,3.3,24036
534,825,Philosophy,22,4.5,2.5,191861
535,825,Biology,22,3.8,2.6,479363
536,825,English,22,3.2,2.4,844034
537,825,Marketing,22,2.8,3.6,1157133
538,825,Philosophy,22,3.2,2.7,52110
539,825,English,22,4.3,3.1,1049858
540,825,Science,22,3.5,3.3,211151
541,825,Psychology,22,2.7,2.5,699706
542,825,"Fine Arts",22,4.6,3.2,100396
543,825,Philosophy,21,3.9,3.2,215886
544,825,Literature,21,3.1,3.1,437222
545,825,History,21,4.1,3.6,783432
546,825,Education,21,3.5,3.2,393753
547,825,Writing,21,4.1,3.1,982784
548,825,History,21,3.6,2.7,283757
549,825,Geography,21,2.5,3.3,375576
550,825,Communication,21,3.8,3.3,803050
551,825,Economics,21,2.9,2.6,229385
552,825,"Criminal Justice",21,2.4,2.2,319194
553,825,Accounting,21,2.6,2.9,380162
554,825,Classics,21,4.5,3.5,240365
555,825,"Labor Studies",21,4.2,2.5,824581
556,825,English,21,3.4,3.5,215919
557,825,Music,21,3.6,3.9,48344
558,825,Nursing,21,4.4,3.4,1091976
559,825,Writing,21,1.5,1.5,782091
560,825,Economics,21,3.2,3,955976
561,825,Engineering,21,3.3,3,25212
562,825,Japanese,21,4.9,3.1,1216350
563,825,Genetics,21,4.9,3.2,163212
564,825,Communication,21,4.6,4.5,543115
565,825,History,21,3.1,2.7,189517
566,825,"Social Work",21,2.5,1.8,627605
567,825,Geology,21,4.5,4.1,524840
568,825,Psychology,21,3.4,2.7,181587
569,825,History,21,3.6,2.9,284300
570,825,Languages,21,3.9,3.1,163223
571,825,"Computer Science",21,4.8,4.6,1275053
572,825,"Political Science",21,4.3,3.7,991912
573,825,Economics,21,3.6,3.5,1276608
574,825,Writing,21,4.7,3.8,324435
575,825,Geology,21,3.5,3.4,616584
576,825,Engineering,21,3.2,2.7,1248623
577,825,Marketing,21,3.2,2.1,1202899
578,825,Philosophy,21,4.6,4.4,484244
579,825,"Political Science",20,4.5,3.6,1114007
580,825,Statistics,20,3.2,3.7,1107459
581,825,Mathematics,20,4.7,3.8,145732
582,825,Business,20,3.1,3,321967
583,825,English,20,4.4,3.8,561473
584,825,Economics,20,3.2,2.8,1139632
585,825,Theology,20,3.6,2.3,215969
586,825,"Health Science",20,4.2,4.1,606318
587,825,History,20,2,1.6,329848
588,825,Mathematics,20,2.5,3,277344
589,825,Engineering,20,2.7,3,331172
590,825,Communication,20,4,3.4,217040
591,825,"Physical Ed",20,4.7,3.5,810932
592,825,Dance,20,3.1,2.2,1540078
593,825,Classics,20,3.8,3.6,1054448
594,825,Anthropology,20,3.7,3.8,349460
595,825,Science,20,4.8,4.8,140772
596,825,Science,20,3,2.8,222377
597,825,Philosophy,20,3.6,3.2,215899
598,825,English,20,3.8,3,215923
599,825,English,20,4.1,3.3,227641
600,825,Anthropology,20,4,2.6,435993
601,825,"Labor Studies",20,4.4,4,439662
602,825,Economics,20,3.3,3.6,223991
603,825,Humanities,20,3.4,1.9,112301
604,825,Writing,20,4.8,2.8,569988
605,825,Writing,20,3.5,2.6,610037
606,825,Economics,20,4,4.3,207653
607,825,Mathematics,20,4.8,4.2,635979
608,825,"African Studies",20,4.8,4.1,342433
609,825,"Labor Studies",20,3.4,3.7,478529
610,825,Mathematics,20,4.4,2.8,953321
611,825,Economics,20,2.2,1.5,109980
612,825,History,20,4.5,3.3,1228488
613,825,Mathematics,20,3.1,2.3,454783
614,825,Chemistry,20,1.5,2.1,329177
615,825,Religion,20,4.8,4.3,1014135
616,825,Engineering,20,4,4.7,25211
617,825,Mathematics,20,2.3,2.8,321438
618,825,Economics,19,3.6,3.7,196616
619,825,Writing,19,2.1,1.6,1232389
620,825,"Creative Writing",19,4.6,4.3,1177952
621,825,Mathematics,19,3.8,4.2,454782
622,825,"Ecology & Evolutionary Biology",19,4.7,4.2,833134
623,825,Geology,19,3.5,4.2,493043
624,825,Accounting,19,3.8,3,457100
625,825,English,19,2,4.2,206913
626,825,Management,19,3.4,2.5,1362123
627,825,English,19,3.2,2.6,337053
628,825,Accounting,19,2.8,2.4,228887
629,825,Italian,19,4.9,4.4,558354
630,825,Mathematics,19,5,4.9,1746510
631,825,History,19,4.7,3.9,693072
632,825,"Political Science",19,4.7,4.3,1003040
633,825,Business,19,4.3,3.1,295737
634,825,Philosophy,19,4.5,4.3,1328009
635,825,"Computer Science",19,2.8,2.7,184976
636,825,Science,19,3.5,2.7,117543
637,825,"American Studies",19,3.8,2.3,226308
638,825,"American Studies",19,3.5,4.1,849371
639,825,Astronomy,19,4.6,4.1,1048131
640,825,History,19,3.5,3.3,341231
641,825,Economics,19,3.6,4.1,791599
642,825,"Middle Eastern Studies",19,2.9,3.4,1425737
643,825,Anthropology,19,3.3,3,749202
644,825,Japanese,19,3.8,3.5,399012
645,825,English,19,4,2.9,1212222
646,825,English,19,1.7,1.4,340802
647,825,English,19,4,3.3,800279
648,825,"Labor Studies",19,4.2,4,498626
649,825,"Political Science",19,3.9,4.3,284986
650,825,Philosophy,19,3.3,2.6,343212
651,825,Journalism,19,3.7,4.1,432064
